Symbol/CUSIP,Total Return - YTD (%),Total Return - 1 Year (%),Annualized Total Return - 3 Year (%),Annualized Total Return - 5 Year (%),Annualized Total Return - 10 Year (%),Alpha (Asset Class) - 5 Year,Standard Deviation - 5 Year,Up Capture Ratio (Morningstar Standard) - 3 Year,Down Capture Ratio (Morningstar Standard) - 3 Year,SEC Yield (%),Sharpe Ratio - 3 Year,Standard Deviation - 3 Year,Net Exp Ratio (%),Longest Manager Tenure (Years)
ACWX,9.44,12.71,8.32,10.05,4.72,0.06,14.71,104.73,107.24,2.31,0.25,15.36,0.32,12.50
AGG,3.16,8.00,1.96,-0.68,1.50,0.04,6.17,99.88,99.86,4.46,-0.35,7.06,0.03,13.93
AOM,1.61,9.35,5.59,5.31,4.60,-4.01,8.13,82.96,82.13,3.22,0.13,8.88,0.15,12.50
AOR,1.05,10.09,7.14,7.97,6.01,-3.07,9.97,101.42,96.34,2.80,0.25,10.66,0.15,12.50
APDJX,3.55,6.26,2.98,6.73,4.32,-3.90,17.61,102.34,123.72,0.00,-0.09,16.85,1.15,6.63
ASFYX,-16.09,-26.96,-8.75,1.67,0.17,1.30,14.92,-46.22,-26.21,0.00,-0.85,15.59,1.45,14.85
BGSIX,-10.05,12.31,13.29,14.60,18.05,-2.65,25.66,131.83,118.84,0.00,0.36,24.33,0.92,11.96
BIL,1.35,4.82,4.29,2.53,1.75,-0.08,0.69,20.04,-21.97,4.11,-0.40,0.39,0.14,1.10
BNDW,2.47,7.42,2.34,-0.26,,0.01,5.54,89.94,81.36,3.97,-0.33,6.26,0.05,6.74
BSV,2.94,7.50,3.44,1.25,1.80,-0.05,2.77,54.31,30.99,4.16,-0.32,3.10,0.03,12.28
BUYZ,-3.36,18.82,11.33,6.87,,-12.30,29.70,147.34,144.36,0.00,0.30,22.92,0.50,5.27
CAIFX,5.54,15.65,7.94,9.63,5.97,1.88,10.04,100.84,94.10,3.28,0.32,10.94,0.38,33.44
CEYIX,-0.89,6.59,7.87,11.70,12.37,-3.27,14.71,86.52,99.57,0.00,0.24,14.55,0.65,9.96
CMNIX,1.51,7.18,5.72,4.90,4.16,0.22,3.28,25.77,8.40,0.84,0.40,3.21,0.97,34.76
CPITX,-2.04,3.25,4.70,4.77,4.76,3.19,3.51,41.28,-5.39,0.00,0.07,3.38,2.00,10.50
CPLIX,1.98,3.60,4.81,9.79,5.93,0.56,14.63,47.20,49.87,0.00,0.03,10.78,2.19,9.16
CWB,0.00,12.49,4.98,10.14,8.72,-2.20,14.52,88.85,83.23,1.95,0.06,11.23,0.40,16.14
DHEIX,2.53,9.42,6.51,6.43,,4.49,2.21,46.05,-15.56,5.82,1.05,1.97,0.53,8.91
DODLX,5.42,9.39,6.08,4.44,4.04,5.35,6.97,121.60,82.51,5.07,0.21,7.88,0.45,11.09
DRRIX,-1.18,3.18,2.28,4.47,3.35,-2.00,6.45,44.37,45.06,0.00,-0.35,6.28,0.93,9.47
DVHIX,-2.29,2.32,2.26,3.91,3.42,3.40,8.71,134.80,145.10,5.04,-0.22,9.88,0.60,17.89
EFA,12.29,13.44,10.46,11.45,5.44,1.20,15.41,114.65,111.10,2.40,0.37,16.42,0.32,12.50
EGIIX,-1.41,7.13,9.95,15.89,8.85,9.10,15.06,56.63,18.97,0.00,0.41,13.44,1.23,8.07
EIHIX,1.17,7.94,6.22,7.22,4.95,7.19,6.06,94.32,40.07,6.25,0.27,6.48,0.65,10.58
EIHMX,-1.62,1.59,2.50,1.63,2.66,0.62,6.28,102.78,103.18,4.00,-0.28,7.09,0.46,11.84
EIMAX,-1.99,0.10,1.42,0.21,1.40,-0.94,5.86,95.00,102.83,3.75,-0.46,6.56,0.61,15.28
ESIIX,3.95,11.40,6.14,6.00,4.03,4.77,3.86,72.69,17.30,6.66,0.41,4.17,1.21,11.59
FBKWX,2.96,8.40,2.76,1.11,2.48,1.76,6.09,102.52,91.32,5.11,-0.24,6.95,0.36,20.51
FCDIX,-10.19,-0.26,6.46,13.31,8.49,-3.40,19.35,100.66,131.76,0.00,0.10,19.60,0.90,15.56
FCSZX,-1.94,13.02,6.76,11.31,10.47,0.08,12.62,92.10,77.34,1.38,0.22,10.67,0.58,22.93
FCVIX,-9.47,0.05,3.56,15.59,7.79,-0.79,20.10,94.85,141.50,0.00,-0.04,19.80,1.01,4.08
FDL,3.29,16.55,8.86,15.38,9.85,3.21,14.35,72.24,89.27,4.48,0.28,15.34,0.45,19.24
FDN,-4.93,18.60,14.33,9.38,13.29,-6.66,25.21,127.21,99.18,0.00,0.42,23.76,0.51,18.96
FDYZX,-8.76,9.66,13.65,12.11,14.34,-6.43,24.27,123.82,118.79,0.00,0.41,22.23,0.54,57.45
FEHIX,-0.84,6.98,6.13,6.08,3.90,4.53,6.06,101.78,55.52,5.34,0.25,6.66,0.91,1.41
FEQZX,-3.42,10.94,,,,,,0.00,0.00,0.00,,,0.50,2.75
FGSIX,-4.34,18.96,15.94,17.42,12.63,-0.47,21.09,124.26,111.13,0.00,0.55,20.80,0.85,12.42
FIDI,15.89,15.09,9.15,12.60,,2.66,15.81,100.85,100.21,4.40,0.31,16.36,0.18,7.38
FIJYX,-4.18,-1.80,9.26,5.58,4.93,-4.36,21.87,65.75,54.16,0.00,0.23,21.40,0.58,6.88
FIKAX,-7.81,-15.73,4.36,22.03,2.72,10.28,30.65,63.42,100.72,0.00,0.00,25.84,0.58,5.42
FIKCX,-2.09,0.55,4.05,4.61,6.59,-6.68,15.57,69.87,97.41,0.00,-0.03,13.89,0.56,16.65
FRIRX,2.04,11.32,3.19,8.36,5.34,-0.15,8.77,66.61,73.88,5.48,-0.13,9.44,0.70,6.25
FTGC,1.86,3.75,-0.63,16.30,2.40,3.98,14.38,91.72,74.30,2.36,-0.40,12.58,0.98,11.61
FZAEX,4.42,8.73,6.14,8.13,5.87,-1.92,18.70,87.76,93.66,0.00,0.10,17.71,0.81,6.27
GACIX,-7.80,0.17,8.11,14.71,7.85,-1.68,18.04,101.87,127.17,0.00,0.19,19.08,1.12,33.63
GLIFX,11.16,18.34,8.14,10.65,8.75,1.50,11.76,69.77,67.50,0.00,0.28,13.14,0.97,15.42
GSINX,10.22,3.88,10.60,11.83,,3.24,14.01,91.11,82.54,0.00,0.43,14.29,0.88,8.46
GSMTX,-0.89,2.49,2.91,2.71,2.71,1.43,5.41,91.94,81.36,4.06,-0.27,5.80,0.40,23.27
GSRTX,-0.20,3.81,5.19,5.70,3.58,-1.16,6.07,41.85,38.96,0.00,0.12,6.19,0.85,7.88
HLGEX,-6.80,2.62,6.81,9.90,10.08,-7.02,20.18,102.02,117.24,0.00,0.12,19.17,0.84,9.42
HYD,-1.56,2.24,1.01,1.76,2.06,1.49,7.23,103.23,118.05,4.57,-0.41,7.79,0.32,2.50
IHDG,-0.58,-1.16,6.81,10.44,7.90,2.49,13.16,81.44,76.76,2.14,0.19,14.03,0.58,4.60
IJH,-8.23,1.14,5.92,13.13,8.21,-3.31,17.89,98.15,128.80,1.59,0.08,18.64,0.05,12.84
ISHYX,-0.58,4.19,2.48,3.20,,1.55,4.36,70.54,56.49,4.55,-0.44,4.51,0.64,9.67
ITM,-0.75,1.44,2.17,0.65,1.90,0.06,5.98,99.57,100.59,3.51,-0.33,6.39,0.18,2.50
IVVIX,-9.06,3.70,6.00,11.24,7.82,-4.74,18.44,97.14,127.66,0.00,0.08,18.72,0.89,3.54
IWB,-5.10,11.78,11.72,15.26,11.89,-0.51,15.25,100.64,102.52,1.19,0.46,15.64,0.15,12.84
IWD,-1.04,8.35,7.43,12.80,8.20,-1.33,14.17,84.42,105.04,1.93,0.20,14.94,0.19,12.84
