Symbol/CUSIP,Total Return - YTD (%),Total Return - 1 Year (%),Annualized Total Return - 3 Year (%),Annualized Total Return - 5 Year (%),Annualized Total Return - 10 Year (%),Alpha (Asset Class) - 5 Year,Standard Deviation - 5 Year,Up Capture Ratio (Morningstar Standard) - 3 Year,Down Capture Ratio (Morningstar Standard) - 3 Year,SEC Yield (%),Sharpe Ratio - 3 Year,Standard Deviation - 3 Year,Net Exp Ratio (%),Longest Manager Tenure (Years)
ACWX,11.17,18.10,2.05,7.37,4.29,-0.26,18.92,104.73,107.24,2.31,-0.09,16.08,0.32,12.50
AGG,3.17,7.29,-2.10,-0.07,1.60,-0.02,6.34,99.88,99.86,4.46,-0.75,7.36,0.03,13.93
AOM,8.27,13.71,1.46,4.98,4.67,-4.06,10.05,82.96,82.13,3.22,-0.21,9.45,0.15,12.50
AOR,10.69,16.71,3.00,7.35,6.25,-3.76,12.76,101.42,96.34,2.80,-0.05,11.32,0.15,12.50
APDJX,6.32,11.24,-4.93,7.34,5.35,-0.52,22.17,102.34,123.72,0.00,-0.43,19.29,1.15,6.63
ASFYX,-2.30,-5.98,4.77,5.47,3.80,5.97,14.04,-46.22,-26.21,0.00,0.08,16.70,1.45,14.85
BGSIX,24.08,35.36,0.74,18.49,19.42,3.42,28.32,131.83,118.84,0.00,-0.10,26.92,0.92,11.96
BIL,3.56,5.41,3.27,2.13,1.45,-0.10,0.67,20.04,-21.97,4.11,-0.29,0.64,0.14,1.10
BNDW,2.71,7.17,-1.77,-0.26,,-0.49,5.74,89.94,81.36,3.97,-0.78,6.71,0.05,6.74
BSV,3.55,6.64,0.52,1.28,1.61,-0.03,2.83,54.31,30.99,4.16,-0.87,3.36,0.03,12.28
BUYZ,13.50,25.71,-14.75,,,,34.08,147.34,144.36,0.00,-0.62,29.57,0.50,5.27
CAIFX,12.27,18.80,5.65,7.83,5.84,1.90,13.09,100.84,94.10,3.28,0.20,11.21,0.38,33.44
CEYIX,10.95,17.65,4.79,12.90,13.62,-1.96,17.90,86.52,99.57,0.00,0.08,16.45,0.65,9.96
CMNIX,5.07,7.34,3.65,4.24,3.92,-0.06,4.32,25.77,8.40,0.84,0.05,4.02,0.97,34.76
CPITX,4.83,8.69,3.62,5.06,,3.48,3.50,41.28,-5.39,0.00,0.05,3.26,2.00,10.50
CPLIX,7.79,10.77,3.97,8.17,6.52,-0.36,18.03,47.20,49.87,0.00,0.04,13.35,2.19,9.16
CWB,4.10,8.76,-3.15,9.69,8.17,-3.11,19.29,88.85,83.23,1.95,-0.50,13.21,0.40,16.14
DHEIX,6.80,10.57,3.97,3.73,,1.99,5.61,46.05,-15.56,5.82,0.22,2.37,0.53,8.91
DODLX,3.88,10.50,1.83,4.17,3.35,4.36,9.03,121.60,82.51,5.07,-0.20,8.07,0.45,11.09
DRRIX,6.63,11.48,0.35,3.55,3.58,-2.46,8.23,44.37,45.06,0.00,-0.51,6.11,0.93,9.47
DVHIX,5.79,12.78,-0.13,2.56,4.20,2.23,10.62,134.80,145.10,5.04,-0.35,10.19,0.60,17.89
EFA,12.17,19.82,4.23,8.67,5.19,1.00,19.38,114.65,111.10,2.40,0.04,17.04,0.32,12.50
