Symbol/CUSIP,Total Return - YTD (%),Total Return - 1 Year (%),Annualized Total Return - 3 Year (%),Annualized Total Return - 5 Year (%),Annualized Total Return - 10 Year (%),Alpha (Asset Class) - 5 Year,Standard Deviation - 5 Year,Up Capture Ratio (Morningstar Standard) - 3 Year,Down Capture Ratio (Morningstar Standard) - 3 Year,SEC Yield (%),Sharpe Ratio - 3 Year,Standard Deviation - 3 Year,Net Exp Ratio (%),Longest Manager Tenure (Years)
ACWX,5.19,5.19,0.66,3.90,4.65,-0.17,18.90,104.73,107.24,2.31,-0.20,16.12,0.32,12.50
AGG,1.37,1.37,-2.37,-0.34,1.31,0.01,6.43,99.88,99.86,4.46,-0.85,7.46,0.03,13.93
AOM,7.85,7.85,1.18,4.05,4.67,-4.41,10.08,82.96,82.13,3.22,-0.29,9.37,0.15,12.50
AOR,10.61,10.61,2.59,6.01,6.25,-4.27,12.75,101.42,96.34,2.80,-0.12,11.16,0.15,12.50
APDJX,-0.33,-0.33,-5.43,3.18,5.52,-1.02,22.05,102.34,123.72,0.00,-0.51,18.29,1.15,6.63
ASFYX,-3.22,-3.22,5.59,6.72,2.71,6.17,14.05,-46.22,-26.21,0.00,0.10,16.43,1.45,14.85
BGSIX,35.07,35.07,4.80,18.42,20.06,5.74,28.20,131.83,118.84,0.00,0.03,25.30,0.92,11.96
BIL,5.20,5.20,3.82,2.34,1.61,-0.08,0.70,20.04,-21.97,4.11,-0.28,0.55,0.14,1.10
BNDW,2.44,2.44,-1.48,-0.11,,-0.11,5.77,89.94,81.36,3.97,-0.81,6.71,0.05,6.74
BSV,3.75,3.75,0.93,1.27,1.61,-0.03,2.88,54.31,30.99,4.16,-0.89,3.39,0.03,12.28
BUYZ,28.16,28.16,-3.62,,,,33.20,147.34,144.36,0.00,-0.29,26.30,0.50,5.27
CAIFX,10.49,10.49,3.95,6.02,5.76,2.43,13.08,100.84,94.10,3.28,0.00,11.11,0.38,33.44
CEYIX,8.66,8.66,2.01,11.32,12.79,-2.35,17.83,86.52,99.57,0.00,-0.13,15.63,0.65,9.96
CMNIX,7.43,7.43,3.93,4.43,4.17,0.42,4.32,25.77,8.40,0.84,-0.01,3.97,0.97,34.76
CPITX,6.77,6.77,4.59,4.94,5.23,3.32,3.45,41.28,-5.39,0.00,0.20,3.08,2.00,10.50
CPLIX,8.87,8.87,5.22,8.46,6.58,1.20,17.98,47.20,49.87,0.00,0.11,11.65,2.19,9.16
CWB,10.11,10.11,-0.02,9.40,9.12,-2.53,19.28,88.85,83.23,1.95,-0.32,12.61,0.40,16.14
DHEIX,9.33,9.33,4.78,4.03,,2.20,5.63,46.05,-15.56,5.82,0.34,2.36,0.53,8.91
DODLX,0.57,0.57,1.22,2.84,3.45,3.40,9.16,121.60,82.51,5.07,-0.33,8.26,0.45,11.09
DRRIX,7.97,7.97,0.49,3.57,3.72,-1.84,8.24,44.37,45.06,0.00,-0.62,5.58,0.93,9.47
DVHIX,5.22,5.22,-0.69,2.38,3.81,2.20,10.63,134.80,145.10,5.04,-0.46,10.22,0.60,17.89
EFA,3.43,3.43,1.54,4.68,5.14,0.57,19.41,114.65,111.10,2.40,-0.14,17.02,0.32,12.50
EGIIX,17.77,17.77,6.72,11.44,9.11,7.63,20.50,56.63,18.97,0.00,0.19,14.76,1.23,8.07
EIHIX,7.67,7.67,3.85,4.73,5.24,4.54,10.26,94.32,40.07,6.25,-0.02,6.92,0.65,10.58
EIHMX,2.20,2.20,-0.12,1.45,2.87,0.63,7.06,102.78,103.18,4.00,-0.55,7.46,0.46,11.84
EIMAX,0.75,0.75,-1.20,0.29,1.61,-0.70,6.42,95.00,102.83,3.75,-0.74,6.96,0.61,15.28
ESIIX,6.65,6.65,4.17,4.36,3.89,3.17,5.77,72.69,17.30,6.66,0.04,4.56,1.21,11.59
FBKWX,2.58,2.58,-1.37,1.00,2.37,1.34,6.70,102.52,91.32,5.11,-0.73,7.34,0.36,20.51
FCDIX,14.49,14.49,3.77,11.20,10.07,-4.58,23.64,100.66,131.76,0.00,-0.01,19.13,0.90,15.56
FCSZX,16.16,16.16,2.60,11.26,11.06,0.18,16.89,92.10,77.34,1.38,-0.12,11.51,0.58,22.93
FCVIX,9.24,9.24,3.77,11.42,8.97,-4.58,25.21,94.85,141.50,0.00,-0.01,19.02,1.01,4.08
FDL,17.86,17.86,8.97,9.07,9.64,-4.01,19.67,72.24,89.27,4.48,0.34,14.77,0.45,19.24
FDN,30.51,30.51,2.50,11.84,14.79,-0.29,27.84,127.21,99.18,0.00,-0.06,26.38,0.51,18.96
FDYZX,30.90,30.90,4.28,15.14,15.96,-0.97,26.49,123.82,118.79,0.00,0.01,23.52,0.54,57.45
FEHIX,11.95,11.95,3.89,4.49,4.44,3.21,8.33,101.78,55.52,5.34,-0.01,6.65,0.91,1.41
FEQZX,19.55,19.55,,,,,,0.00,0.00,0.00,,,0.50,2.75
