Symbol/CUSIP,Total Return - YTD (%),Total Return - 1 Year (%),Annualized Total Return - 3 Year (%),Annualized Total Return - 5 Year (%),Annualized Total Return - 10 Year (%),Alpha (Asset Class) - 5 Year,Standard Deviation - 5 Year,Up Capture Ratio (Morningstar Standard) - 3 Year,Down Capture Ratio (Morningstar Standard) - 3 Year,SEC Yield (%),Sharpe Ratio - 3 Year,Standard Deviation - 3 Year,Net Exp Ratio (%),Longest Manager Tenure (Years)
ACWX,6.04,9.89,4.73,7.49,4.74,-0.21,15.19,104.73,107.24,2.31,0.04,15.83,0.32,12.50
AGG,2.72,5.80,-0.42,-0.54,1.47,0.04,6.16,99.88,99.86,4.46,-0.63,7.34,0.03,13.93
AOM,2.55,9.41,3.73,5.02,4.76,-4.78,8.25,82.96,82.13,3.22,-0.06,9.25,0.15,12.50
AOR,2.62,11.06,5.48,7.56,6.26,-4.39,10.09,101.42,96.34,2.80,0.11,11.00,0.15,12.50
APDJX,1.45,0.03,-0.49,5.44,5.32,-2.42,18.48,102.34,123.72,0.00,-0.26,17.97,1.15,6.63
ASFYX,-2.41,-9.72,2.73,6.04,1.58,6.17,13.98,-46.22,-26.21,0.00,-0.10,15.11,1.45,14.85
BGSIX,-2.12,16.60,11.22,17.40,19.16,0.92,25.85,131.83,118.84,0.00,0.29,24.55,0.92,11.96
BIL,0.68,5.03,4.06,2.43,1.68,-0.07,0.70,20.04,-21.97,4.11,-0.31,0.47,0.14,1.10
BNDW,1.99,5.89,0.14,-0.32,,-0.17,5.55,89.94,81.36,3.97,-0.62,6.54,0.05,6.74
BSV,1.50,5.66,1.96,1.18,1.71,-0.10,2.75,54.31,30.99,4.16,-0.71,3.18,0.03,12.28
BUYZ,2.00,19.00,6.76,9.31,,-8.56,31.68,147.34,144.36,0.00,0.10,25.39,0.50,5.27
CAIFX,5.66,15.73,6.75,8.59,6.03,2.58,10.12,100.84,94.10,3.28,0.23,11.09,0.38,33.44
CEYIX,3.29,7.19,8.23,13.11,12.68,-2.93,14.76,86.52,99.57,0.00,0.27,15.16,0.65,9.96
CMNIX,1.27,7.51,4.96,4.94,4.20,0.29,3.33,25.77,8.40,0.84,0.20,3.82,0.97,34.76
CPITX,1.11,7.17,5.41,5.53,5.12,3.99,3.35,41.28,-5.39,0.00,0.41,2.96,2.00,10.50
CPLIX,1.60,7.45,3.00,9.43,5.96,0.19,15.63,47.20,49.87,0.00,-0.11,11.13,2.19,9.16
CWB,1.58,12.31,3.18,9.80,8.97,-4.23,15.27,88.85,83.23,1.95,-0.06,12.48,0.40,16.14
DHEIX,1.81,9.77,5.72,4.12,,2.27,2.79,46.05,-15.56,5.82,0.71,2.12,0.53,8.91
DODLX,3.43,5.56,3.79,3.48,3.80,4.37,7.42,121.60,82.51,5.07,-0.05,8.13,0.45,11.09
DRRIX,2.35,8.27,2.77,4.48,3.73,-2.10,6.14,44.37,45.06,0.00,-0.26,5.61,0.93,9.47
DVHIX,2.13,5.86,1.20,1.73,3.91,2.09,8.85,134.80,145.10,5.04,-0.30,10.01,0.60,17.89
EFA,8.12,9.20,6.67,8.83,5.30,1.00,15.85,114.65,111.10,2.40,0.15,16.74,0.32,12.50
EGIIX,-11.12,-0.92,5.03,9.56,6.64,2.93,15.23,56.63,18.97,0.00,0.06,14.70,1.23,8.07
EIHIX,1.76,9.21,5.10,5.52,5.09,5.59,6.56,94.32,40.07,6.25,0.13,6.78,0.65,10.58
EIHMX,1.10,3.19,1.39,0.88,2.93,0.42,6.27,102.78,103.18,4.00,-0.39,7.26,0.46,11.84
EIMAX,0.99,1.93,0.18,-0.16,1.67,-0.83,5.77,95.00,102.83,3.75,-0.59,6.78,0.61,15.28
ESIIX,3.19,10.23,5.70,4.89,3.98,3.81,4.44,72.69,17.30,6.66,0.35,4.31,1.21,11.59
FBKWX,2.85,6.77,0.60,0.96,2.50,1.52,6.18,102.52,91.32,5.11,-0.50,7.22,0.36,20.51
FCDIX,-2.99,5.57,6.13,12.82,9.33,-5.70,19.24,100.66,131.76,0.00,0.10,19.29,0.90,15.56
FCSZX,1.39,16.31,5.77,11.73,10.77,-1.31,13.87,92.10,77.34,1.38,0.14,11.46,0.58,22.93
FCVIX,-0.98,6.97,3.88,14.06,8.72,-4.63,20.14,94.85,141.50,0.00,-0.02,19.27,1.01,4.08
FDL,9.08,26.58,11.60,14.60,10.48,-0.07,14.52,72.24,89.27,4.48,0.50,14.97,0.45,19.24
FDN,1.27,21.56,9.50,12.42,14.07,-3.29,25.34,127.21,99.18,0.00,0.20,25.76,0.51,18.96
FDYZX,-2.80,12.65,10.67,14.57,14.97,-4.73,24.06,123.82,118.79,0.00,0.28,22.85,0.54,57.45
FEHIX,2.74,11.96,6.00,5.40,4.46,4.43,6.02,101.78,55.52,5.34,0.28,6.50,0.91,1.41
FEQZX,0.08,13.03,,,,,,0.00,0.00,0.00,,,0.50,2.75
FGSIX,-0.34,20.27,14.15,18.01,13.01,-1.74,21.01,124.26,111.13,0.00,0.48,20.85,0.85,12.42
FIDI,7.65,9.00,5.35,6.83,,-0.97,16.26,100.85,100.21,4.40,0.08,16.49,0.18,7.38
FIJYX,0.40,-4.45,7.59,8.00,5.13,-2.17,21.95,65.75,54.16,0.00,0.15,22.57,0.58,6.88
FIKAX,2.79,3.57,11.39,19.85,4.53,3.63,30.84,63.42,100.72,0.00,0.28,25.97,0.58,5.42
FIKCX,2.61,1.54,3.58,7.45,7.16,-3.40,15.81,69.87,97.41,0.00,-0.04,15.55,0.56,16.65
FRIRX,3.29,11.04,3.00,4.43,5.42,-6.25,9.89,66.61,73.88,5.48,-0.12,9.72,0.70,6.25
FTGC,3.51,10.68,3.52,13.35,2.49,3.62,14.36,91.72,74.30,2.36,-0.06,12.67,0.98,11.61
FZAEX,2.99,14.80,1.79,6.41,5.79,-1.26,18.91,87.76,93.66,0.00,-0.14,17.70,0.81,6.27
GACIX,0.00,6.51,8.33,13.67,8.76,-4.76,18.26,101.87,127.17,0.00,0.22,18.74,1.12,33.63
GLIFX,4.80,10.89,7.96,7.61,8.30,-2.35,12.07,69.77,67.50,0.00,0.28,13.28,0.97,15.42
GSINX,6.42,2.11,8.21,10.56,,4.06,14.23,91.11,82.54,0.00,0.27,14.89,0.88,8.46
GSMTX,1.38,4.29,1.76,1.24,2.89,0.57,5.50,91.94,81.36,4.06,-0.41,6.05,0.40,23.27
GSRTX,2.75,7.56,5.64,5.29,3.93,-1.37,5.74,41.85,38.96,0.00,0.24,6.05,0.85,7.88
HLGEX,-0.54,5.77,5.36,11.53,10.95,-6.86,20.05,102.02,117.24,0.00,0.06,19.46,0.84,9.42
HYD,1.81,5.34,-0.37,-0.81,2.44,-0.30,7.64,103.23,118.05,4.57,-0.53,8.10,0.32,2.50
IHDG,5.56,5.74,8.92,11.40,8.85,5.30,12.63,81.44,76.76,2.14,0.38,13.30,0.58,4.60
IJH,-0.67,8.63,6.60,12.80,9.05,-5.92,18.20,98.15,128.80,1.59,0.13,18.27,0.05,12.84
ISHYX,1.30,6.46,1.41,0.97,,-0.04,4.42,70.54,56.49,4.55,-0.59,4.74,0.64,9.67
ITM,1.72,2.58,0.55,0.04,2.10,-0.34,6.18,99.57,100.59,3.51,-0.53,6.72,0.18,2.50
IVVIX,-1.12,10.68,6.39,10.81,8.56,-7.27,18.33,97.14,127.66,0.00,0.12,18.36,0.89,3.54
IWB,1.35,17.94,11.92,16.38,12.56,-0.82,14.97,100.64,102.52,1.19,0.49,15.74,0.15,12.84
IWD,5.02,15.53,8.47,12.32,8.79,-3.91,14.23,84.42,105.04,1.93,0.29,14.95,0.19,12.84
IWF,-1.71,19.54,14.67,19.52,15.80,1.19,18.82,114.78,100.51,0.48,0.55,19.16,0.19,12.84
IWM,-2.87,6.53,3.23,9.27,7.18,-10.02,21.22,98.88,144.28,1.40,-0.05,20.76,0.19,12.84
IWN,-1.87,7.30,2.56,10.08,6.74,-9.18,21.59,91.07,146.80,2.27,-0.08,20.94,0.24,12.84
IWO,-3.83,5.73,3.57,7.79,7.17,-11.98,22.71,106.14,141.47,0.50,-0.03,21.39,0.24,12.84
IWP,0.27,14.27,9.28,-1.92,3.12,-6.39,20.71,113.40,112.81,0.41,0.25,20.38,0.23,12.84
IWR,1.25,12.04,7.02,12.23,9.07,-6.39,17.07,97.72,122.72,1.49,0.16,17.86,0.19,12.84
IWS,1.58,11.42,5.94,11.46,7.79,-7.02,16.89,90.69,126.98,1.85,0.10,17.49,0.23,12.84
