Symbol/CUSIP,Total Return - YTD (%),Total Return - 1 Year (%),Annualized Total Return - 3 Year (%),Annualized Total Return - 5 Year (%),Annualized Total Return - 10 Year (%),Alpha (Asset Class) - 5 Year,Standard Deviation - 5 Year,Up Capture Ratio (Morningstar Standard) - 3 Year,Down Capture Ratio (Morningstar Standard) - 3 Year,SEC Yield (%),Sharpe Ratio - 3 Year,Standard Deviation - 3 Year,Net Exp Ratio (%),Longest Manager Tenure (Years)
ACWX,3.82,11.06,2.81,5.28,5.06,-0.11,15.76,104.73,107.24,2.31,-0.08,15.86,0.32,12.50
AGG,0.51,2.07,-1.51,-0.62,1.15,-0.02,6.35,99.88,99.86,4.46,-0.76,7.44,0.03,13.93
AOM,1.55,9.27,2.74,4.29,4.83,-4.49,8.72,82.96,82.13,3.22,-0.15,9.26,0.15,12.50
AOR,2.06,12.68,4.50,6.52,6.50,-4.19,10.69,101.42,96.34,2.80,0.04,11.01,0.15,12.50
APDJX,3.26,4.24,-0.85,4.23,5.89,-1.45,19.45,102.34,123.72,0.00,-0.27,18.06,1.15,6.63
ASFYX,0.92,-2.33,4.95,6.89,2.06,6.53,13.95,-46.22,-26.21,0.00,0.05,16.04,1.45,14.85
BGSIX,2.12,32.27,11.00,17.81,20.50,4.06,26.62,131.83,118.84,0.00,0.28,24.73,0.92,11.96
BIL,0.36,5.13,3.95,2.39,1.65,-0.07,0.70,20.04,-21.97,4.11,-0.30,0.51,0.14,1.10
BNDW,0.43,3.27,-0.77,-0.40,,-0.19,5.67,89.94,81.36,3.97,-0.73,6.66,0.05,6.74
BSV,0.52,3.93,1.44,1.19,1.56,-0.04,2.84,54.31,30.99,4.16,-0.79,3.34,0.03,12.28
BUYZ,6.23,33.10,5.65,,,,32.81,147.34,144.36,0.00,0.06,25.58,0.50,5.27
CAIFX,2.96,14.14,5.20,6.84,6.03,2.26,10.67,100.84,94.10,3.28,0.10,11.03,0.38,33.44
CEYIX,4.53,13.29,6.57,11.97,13.57,-2.33,15.74,86.52,99.57,0.00,0.16,15.27,0.65,9.96
CMNIX,0.67,7.69,4.43,4.53,4.33,0.27,3.58,25.77,8.40,0.84,0.09,3.86,0.97,34.76
CPITX,1.00,7.67,5.46,5.20,5.35,3.67,3.36,41.28,-5.39,0.00,0.45,3.04,2.00,10.50
CPLIX,3.95,10.87,4.08,9.40,7.08,1.48,16.34,47.20,49.87,0.00,0.00,11.34,2.19,9.16
CWB,2.93,14.83,3.46,9.32,9.55,-3.10,16.55,88.85,83.23,1.95,-0.04,12.56,0.40,16.14
DHEIX,0.81,9.28,5.20,4.07,,2.27,4.55,46.05,-15.56,5.82,0.48,2.28,0.53,8.91
DODLX,1.24,2.28,2.22,2.87,3.58,3.77,8.00,121.60,82.51,5.07,-0.23,8.19,0.45,11.09
DRRIX,2.16,9.71,2.54,3.83,3.81,-2.01,6.63,44.37,45.06,0.00,-0.28,5.56,0.93,9.47
DVHIX,0.69,5.18,0.47,2.02,3.66,2.27,9.43,134.80,145.10,5.04,-0.36,10.18,0.60,17.89
EFA,4.92,9.04,4.53,6.14,5.60,0.74,16.34,114.65,111.10,2.40,0.02,16.73,0.32,12.50
EGIIX,-5.44,8.29,5.54,10.03,7.50,5.10,16.36,56.63,18.97,0.00,0.10,14.65,1.23,8.07
EIHIX,0.99,8.43,5.21,5.03,5.24,5.12,7.56,94.32,40.07,6.25,0.16,6.80,0.65,10.58
EIHMX,0.00,2.08,0.80,1.02,2.67,0.50,6.59,102.78,103.18,4.00,-0.45,7.41,0.46,11.84
EIMAX,-0.08,0.77,-0.34,-0.11,1.43,-0.84,6.07,95.00,102.83,3.75,-0.64,6.95,0.61,15.28
ESIIX,1.51,7.78,4.71,4.57,3.97,3.50,4.76,72.69,17.30,6.66,0.14,4.44,1.21,11.59
FBKWX,0.69,3.24,-0.48,0.76,2.24,1.38,6.43,102.52,91.32,5.11,-0.63,7.32,0.36,20.51
FCDIX,3.07,18.93,8.25,12.19,10.63,-4.28,20.01,100.66,131.76,0.00,0.22,19.22,0.90,15.56
FCSZX,3.04,20.39,6.13,11.30,11.44,-0.29,14.74,92.10,77.34,1.38,0.18,11.47,0.58,22.93
FCVIX,4.22,17.04,6.47,13.04,9.76,-3.65,20.81,94.85,141.50,0.00,0.12,19.17,1.01,4.08
FDL,3.26,20.92,9.31,10.94,10.17,-2.67,15.46,72.24,89.27,4.48,0.35,14.91,0.45,19.24
FDN,8.04,37.39,9.82,12.71,15.91,-0.51,26.27,127.21,99.18,0.00,0.22,25.87,0.51,18.96
FDYZX,3.06,29.52,11.37,14.75,16.34,-2.13,24.89,123.82,118.79,0.00,0.32,23.01,0.54,57.45
FEHIX,1.02,12.00,4.95,4.71,4.54,3.67,6.54,101.78,55.52,5.34,0.13,6.54,0.91,1.41
FEQZX,1.37,19.79,,,,,,0.00,0.00,0.00,,,0.50,2.75
FGSIX,6.83,39.60,16.29,17.76,14.40,0.31,22.01,124.26,111.13,0.00,0.58,20.85,0.85,12.42
FIDI,4.31,4.56,4.13,4.17,,-1.48,16.82,100.85,100.21,4.40,-0.03,16.48,0.18,7.38
FIJYX,1.00,2.44,7.92,8.25,5.67,-0.32,23.31,65.75,54.16,0.00,0.17,22.79,0.58,6.88
FIKAX,2.77,7.62,14.36,16.03,5.01,1.70,32.33,63.42,100.72,0.00,0.39,26.40,0.58,5.42
FIKCX,5.97,9.96,5.10,6.80,8.16,-2.65,17.60,69.87,97.41,0.00,0.06,15.77,0.56,16.65
FRIRX,0.93,8.88,1.56,3.37,5.15,-5.81,11.67,66.61,73.88,5.48,-0.26,9.69,0.70,6.25
FTGC,3.76,10.56,5.69,12.21,2.68,3.58,14.60,91.72,74.30,2.36,0.12,13.47,0.98,11.61
FZAEX,1.69,18.31,-1.59,5.34,6.04,-0.15,19.33,87.76,93.66,0.00,-0.31,18.60,0.81,6.27
GACIX,3.53,14.93,9.52,12.36,9.75,-4.12,19.00,101.87,127.17,0.00,0.29,18.67,1.12,33.63
GLIFX,2.24,9.03,6.96,5.77,8.30,-3.03,12.58,69.77,67.50,0.00,0.21,13.34,0.97,15.42
GSINX,4.00,5.98,5.89,9.02,,4.17,15.03,91.11,82.54,0.00,0.12,15.08,0.88,8.46
GSMTX,0.44,3.62,1.23,1.32,2.74,0.59,5.96,91.94,81.36,4.06,-0.46,6.20,0.40,23.27
GSRTX,2.75,9.64,5.16,4.70,4.16,-1.22,5.86,41.85,38.96,0.00,0.17,6.05,0.85,7.88
HLGEX,6.60,21.72,7.94,11.83,12.41,-4.28,21.20,102.02,117.24,0.00,0.20,19.41,0.84,9.42
HYD,0.65,4.74,-1.05,-0.63,2.26,-0.55,9.23,103.23,118.05,4.57,-0.62,8.24,0.32,2.50
IHDG,6.02,10.27,8.64,9.75,9.54,5.07,13.37,81.44,76.76,2.14,0.30,13.35,0.58,4.60
IJH,3.84,20.32,8.59,11.56,10.09,-5.20,19.21,98.15,128.80,1.59,0.25,18.22,0.05,12.84
ISHYX,0.39,5.98,0.92,1.07,,0.01,5.18,70.54,56.49,4.55,-0.65,4.92,0.64,9.67
ITM,0.56,1.44,-0.02,0.09,1.81,-0.48,7.09,99.57,100.59,3.51,-0.60,6.96,0.18,2.50
IVVIX,4.99,22.51,8.98,9.80,9.66,-6.41,19.19,97.14,127.66,0.00,0.27,18.26,0.89,3.54
IWB,3.17,26.52,11.54,14.81,13.39,-0.59,16.04,100.64,102.52,1.19,0.47,15.85,0.15,12.84
IWD,4.61,19.32,7.90,9.97,9.26,-4.70,15.24,84.42,105.04,1.93,0.25,14.96,0.19,12.84
