Symbol/CUSIP,Total Return - YTD (%),Total Return - 1 Year (%),Annualized Total Return - 3 Year (%),Annualized Total Return - 5 Year (%),Annualized Total Return - 10 Year (%),Alpha (Asset Class) - 5 Year,Standard Deviation - 5 Year,Up Capture Ratio (Morningstar Standard) - 3 Year,Down Capture Ratio (Morningstar Standard) - 3 Year,SEC Yield (%),Sharpe Ratio - 3 Year,Standard Deviation - 3 Year,Net Exp Ratio (%),Longest Manager Tenure (Years)
ACWX,8.15,9.51,1.67,6.11,4.07,-0.07,18.86,104.73,107.24,2.31,-0.11,16.03,0.32,12.50
AGG,1.71,5.10,-2.63,0.16,1.57,0.02,6.23,99.88,99.86,4.46,-0.82,7.18,0.03,13.93
AOM,6.39,10.10,1.15,4.74,4.67,-3.79,10.03,82.96,82.13,3.22,-0.23,9.43,0.15,12.50
AOR,8.55,12.24,2.78,6.90,6.30,-3.54,12.73,101.42,96.34,2.80,-0.04,11.31,0.15,12.50
APDJX,4.77,5.01,-4.52,6.57,5.15,0.05,22.16,102.34,123.72,0.00,-0.40,19.41,1.15,6.63
ASFYX,4.06,-1.81,6.70,8.25,4.99,8.56,13.50,-46.22,-26.21,0.00,0.21,15.87,1.45,14.85
BGSIX,21.48,29.68,1.04,17.53,19.63,3.69,28.04,131.83,118.84,0.00,-0.08,26.56,0.92,11.96
BIL,3.07,5.38,3.11,2.07,1.40,-0.11,0.66,20.04,-21.97,4.11,-0.29,0.65,0.14,1.10
BNDW,1.69,5.86,-2.20,0.02,,-0.41,5.65,89.94,81.36,3.97,-0.84,6.56,0.05,6.74
BSV,2.49,5.79,0.15,1.31,1.54,-0.08,2.75,54.31,30.99,4.16,-0.98,3.23,0.03,12.28
BUYZ,8.54,13.21,-15.24,,,,34.35,147.34,144.36,0.00,-0.63,29.61,0.50,5.27
CAIFX,8.88,12.36,5.03,7.14,5.75,2.14,13.06,100.84,94.10,3.28,0.15,11.20,0.38,33.44
CEYIX,8.89,14.81,5.03,12.98,13.82,-0.95,17.92,86.52,99.57,0.00,0.11,16.50,0.65,9.96
CMNIX,4.01,6.62,3.49,4.12,3.93,0.11,4.31,25.77,8.40,0.84,0.05,4.02,0.97,34.76
CPITX,3.85,8.10,3.45,4.90,,3.28,3.50,41.28,-5.39,0.00,0.05,3.27,2.00,10.50
CPLIX,7.73,7.83,4.33,7.74,6.65,-0.09,18.04,47.20,49.87,0.00,0.08,13.40,2.19,9.16
CWB,2.48,4.21,-3.09,9.02,8.31,-3.00,19.29,88.85,83.23,1.95,-0.47,13.28,0.40,16.14
DHEIX,5.70,10.53,3.68,3.62,,1.86,5.60,46.05,-15.56,5.82,0.17,2.30,0.53,8.91
DODLX,1.93,7.21,1.25,3.66,3.24,3.51,8.94,121.60,82.51,5.07,-0.26,7.89,0.45,11.09
DRRIX,6.43,10.20,0.77,3.81,3.69,-1.71,8.22,44.37,45.06,0.00,-0.41,6.17,0.93,9.47
DVHIX,4.75,9.44,-0.59,2.88,4.26,2.27,10.61,134.80,145.10,5.04,-0.38,10.17,0.60,17.89
EFA,8.46,11.27,3.59,7.37,4.82,1.19,19.32,114.65,111.10,2.40,0.02,16.99,0.32,12.50
EGIIX,23.57,35.79,11.70,14.83,10.66,9.33,20.28,56.63,18.97,0.00,0.57,14.77,1.23,8.07
EIHIX,4.57,10.08,3.66,4.94,4.88,4.36,10.28,94.32,40.07,6.25,0.05,7.03,0.65,10.58
EIHMX,1.61,5.28,-0.51,1.65,3.23,0.58,7.03,102.78,103.18,4.00,-0.51,7.41,0.46,11.84
EIMAX,0.79,4.01,-1.38,0.49,1.92,-0.69,6.35,95.00,102.83,3.75,-0.68,6.86,0.61,15.28
ESIIX,4.79,9.03,3.64,4.54,3.78,3.17,5.69,72.69,17.30,6.66,0.08,4.35,1.21,11.59
FBKWX,2.52,6.37,-1.57,1.44,2.51,1.25,6.51,102.52,91.32,5.11,-0.69,7.08,0.36,20.51
FCDIX,16.55,21.37,7.31,13.15,11.01,-2.94,23.54,100.66,131.76,0.00,0.20,19.79,0.90,15.56
FCSZX,5.43,7.71,-0.32,9.52,9.90,-1.71,16.78,92.10,77.34,1.38,-0.30,11.93,0.58,22.93
FCVIX,11.27,16.32,7.28,13.05,10.14,-3.32,25.12,94.85,141.50,0.00,0.21,19.03,1.01,4.08
FDL,15.74,18.40,11.23,10.34,9.85,-3.09,19.77,72.24,89.27,4.48,0.53,14.89,0.45,19.24
FDN,6.66,14.52,-6.29,6.36,12.94,-6.84,27.34,127.21,99.18,0.00,-0.36,26.69,0.51,18.96
FDYZX,19.32,25.76,0.88,13.72,15.66,-2.94,26.33,123.82,118.79,0.00,-0.09,25.50,0.54,57.45
FEHIX,10.04,13.97,3.59,4.55,3.82,3.14,8.25,101.78,55.52,5.34,0.05,6.52,0.91,1.41
