Symbol/CUSIP,Total Return - YTD (%),Total Return - 1 Year (%),Annualized Total Return - 3 Year (%),Annualized Total Return - 5 Year (%),Annualized Total Return - 10 Year (%),Alpha (Asset Class) - 5 Year,Standard Deviation - 5 Year,Up Capture Ratio (Morningstar Standard) - 3 Year,Down Capture Ratio (Morningstar Standard) - 3 Year,SEC Yield (%),Sharpe Ratio - 3 Year,Standard Deviation - 3 Year,Net Exp Ratio (%),Longest Manager Tenure (Years)
ACWX,5.58,10.88,0.29,5.34,3.72,-0.15,18.91,104.73,107.24,2.31,-0.18,16.00,0.32,12.50
AGG,-0.62,2.61,-3.02,-0.26,1.31,0.00,6.22,99.88,99.86,4.46,-0.87,7.14,0.03,13.93
AOM,4.16,9.33,0.75,4.34,4.32,-4.15,10.03,82.96,82.13,3.22,-0.25,9.40,0.15,12.50
AOR,6.34,12.30,2.39,6.48,5.92,-4.02,12.74,101.42,96.34,2.80,-0.07,11.28,0.15,12.50
APDJX,0.00,2.41,-5.94,5.38,4.01,-0.34,22.14,102.34,123.72,0.00,-0.47,19.36,1.15,6.63
ASFYX,5.92,-0.76,7.53,9.04,5.24,9.34,13.53,-46.22,-26.21,0.00,0.28,15.82,1.45,14.85
BGSIX,26.56,40.35,2.81,19.33,19.86,5.79,27.92,131.83,118.84,0.00,-0.01,26.27,0.92,11.96
BIL,2.62,5.34,2.95,2.01,1.35,-0.11,0.64,20.04,-21.97,4.11,-0.28,0.66,0.14,1.10
BNDW,-0.54,3.41,-2.49,-0.28,,-0.32,5.65,89.94,81.36,3.97,-0.86,6.53,0.05,6.74
BSV,0.96,4.61,-0.22,1.00,1.36,-0.18,2.72,54.31,30.99,4.16,-1.06,3.18,0.03,12.28
BUYZ,8.74,19.71,-16.26,,,,34.68,147.34,144.36,0.00,-0.66,29.61,0.50,5.27
CAIFX,4.51,10.10,3.67,6.19,5.15,1.73,13.04,100.84,94.10,3.28,0.05,11.13,0.38,33.44
CEYIX,5.54,14.05,5.87,12.58,13.32,-1.38,17.94,86.52,99.57,0.00,0.16,16.58,0.65,9.96
CMNIX,3.44,6.55,3.40,4.10,3.82,0.20,4.31,25.77,8.40,0.84,0.07,4.01,0.97,34.76
CPITX,2.66,8.24,3.08,4.71,,3.24,3.51,41.28,-5.39,0.00,-0.02,3.27,2.00,10.50
CPLIX,6.10,6.73,3.15,7.57,6.61,-0.05,18.04,47.20,49.87,0.00,0.00,13.38,2.19,9.16
CWB,0.85,5.32,-3.96,8.98,8.01,-3.14,19.29,88.85,83.23,1.95,-0.54,13.26,0.40,16.14
DHEIX,4.51,10.61,3.36,3.43,,1.80,5.59,46.05,-15.56,5.82,0.10,2.27,0.53,8.91
DODLX,-0.67,5.96,0.52,3.35,2.89,3.63,8.93,121.60,82.51,5.07,-0.33,7.86,0.45,11.09
DRRIX,5.35,9.77,0.64,3.60,3.49,-1.77,8.21,44.37,45.06,0.00,-0.40,6.17,0.93,9.47
DVHIX,3.81,8.34,-0.49,2.84,4.21,2.24,10.60,134.80,145.10,5.04,-0.36,10.14,0.60,17.89
EFA,5.38,11.06,2.90,6.48,4.31,0.97,19.37,114.65,111.10,2.40,-0.01,16.98,0.32,12.50
EGIIX,17.95,33.71,11.21,12.47,10.21,7.56,20.26,56.63,18.97,0.00,0.55,14.73,1.23,8.07
EIHIX,3.26,10.07,3.30,4.78,4.63,4.58,10.28,94.32,40.07,6.25,0.02,7.02,0.65,10.58
EIHMX,0.84,4.81,-0.51,1.67,3.17,0.62,7.04,102.78,103.18,4.00,-0.49,7.40,0.46,11.84
