Symbol/CUSIP,Total Return - YTD (%),Total Return - 1 Year (%),Annualized Total Return - 3 Year (%),Annualized Total Return - 5 Year (%),Annualized Total Return - 10 Year (%),Alpha (Asset Class) - 5 Year,Standard Deviation - 5 Year,Up Capture Ratio (Morningstar Standard) - 3 Year,Down Capture Ratio (Morningstar Standard) - 3 Year,SEC Yield (%),Sharpe Ratio - 3 Year,Standard Deviation - 3 Year,Net Exp Ratio (%),Longest Manager Tenure (Years)
ACWX,6.20,6.75,4.94,10.94,4.92,0.04,15.09,104.73,107.24,2.31,0.04,15.44,0.32,12.50
AGG,2.76,4.96,0.53,-0.40,1.42,0.01,6.18,99.88,99.86,4.46,-0.54,7.08,0.03,13.93
AOM,1.06,5.77,3.49,6.17,4.62,-4.47,8.21,82.96,82.13,3.22,-0.09,9.00,0.15,12.50
AOR,0.48,6.16,4.69,9.19,6.09,-3.53,10.05,101.42,96.34,2.80,0.04,10.74,0.15,12.50
APDJX,-1.45,-5.41,-1.52,7.96,4.88,-3.71,18.03,102.34,123.72,0.00,-0.33,17.51,1.15,6.63
ASFYX,-6.90,-16.83,-2.46,3.78,0.86,3.83,14.11,-46.22,-26.21,0.00,-0.47,14.43,1.45,14.85
BGSIX,-12.93,2.43,6.20,17.32,17.80,-3.00,25.73,131.83,118.84,0.00,0.08,24.78,0.92,11.96
BIL,1.01,4.91,4.18,2.46,1.72,-0.10,0.69,20.04,-21.97,4.11,-0.37,0.43,0.14,1.10
BNDW,1.42,4.28,0.80,0.00,,-0.06,5.54,89.94,81.36,3.97,-0.56,6.28,0.05,6.74
BSV,2.00,5.71,2.78,1.24,1.72,-0.16,2.76,54.31,30.99,4.16,-0.49,3.10,0.03,12.28
BUYZ,-7.18,6.17,3.45,10.13,,-12.89,30.41,147.34,144.36,0.00,-0.04,25.23,0.50,5.27
CAIFX,5.16,11.95,6.33,10.75,6.22,2.39,10.09,100.84,94.10,3.28,0.18,10.92,0.38,33.44
