Symbol/CUSIP,Total Return - YTD (%),Total Return - 1 Year (%),Annualized Total Return - 3 Year (%),Annualized Total Return - 5 Year (%),Annualized Total Return - 10 Year (%),Alpha (Asset Class) - 5 Year,Standard Deviation - 5 Year,Up Capture Ratio (Morningstar Standard) - 3 Year,Down Capture Ratio (Morningstar Standard) - 3 Year,SEC Yield (%),Sharpe Ratio - 3 Year,Standard Deviation - 3 Year,Net Exp Ratio (%),Longest Manager Tenure (Years)
ACWX,7.96,13.30,2.85,5.33,4.53,-0.03,19.00,104.73,107.24,2.31,-0.07,16.18,0.32,12.50
AGG,3.11,6.94,-1.92,-0.02,1.50,0.02,6.45,99.88,99.86,4.46,-0.77,7.51,0.03,13.93
AOM,9.99,14.62,2.37,4.76,4.82,-4.31,10.09,82.96,82.13,3.22,-0.16,9.47,0.15,12.50
AOR,13.14,18.22,4.19,6.94,6.43,-4.15,12.77,101.42,96.34,2.80,0.02,11.28,0.15,12.50
APDJX,4.77,13.37,-2.85,4.99,5.75,-0.56,22.12,102.34,123.72,0.00,-0.36,18.86,1.15,6.63
ASFYX,-3.84,-4.46,6.28,6.42,2.92,6.29,14.06,-46.22,-26.21,0.00,0.15,16.46,1.45,14.85
BGSIX,34.83,41.43,4.04,19.42,19.97,5.20,28.23,131.83,118.84,0.00,0.01,26.56,0.92,11.96
BIL,4.79,5.27,3.69,2.28,1.57,-0.09,0.69,20.04,-21.97,4.11,-0.28,0.58,0.14,1.10
BNDW,3.74,7.25,-1.24,0.11,,-0.18,5.78,89.94,81.36,3.97,-0.76,6.75,0.05,6.74
BSV,3.87,5.55,0.91,1.33,1.59,-0.07,2.89,54.31,30.99,4.16,-0.85,3.43,0.03,12.28
BUYZ,34.66,42.06,-5.39,,,,33.41,147.34,144.36,0.00,-0.32,28.51,0.50,5.27
CAIFX,13.10,18.65,6.66,7.06,5.79,2.59,13.13,100.84,94.10,3.28,0.25,11.14,0.38,33.44
CEYIX,13.04,17.94,5.20,12.69,13.25,-2.07,17.88,86.52,99.57,0.00,0.08,16.20,0.65,9.96
CMNIX,7.07,7.95,4.12,4.46,4.09,0.21,4.33,25.77,8.40,0.84,0.07,4.02,0.97,34.76
CPITX,7.02,9.61,4.77,5.34,,3.65,3.47,41.28,-5.39,0.00,0.29,3.16,2.00,10.50
CPLIX,9.24,12.33,6.28,8.30,5.99,0.27,18.01,47.20,49.87,0.00,0.20,12.42,2.19,9.16
CWB,14.79,21.57,1.23,10.97,9.34,-1.81,19.28,88.85,83.23,1.95,-0.19,13.06,0.40,16.14
DHEIX,8.75,10.32,4.61,3.95,,2.10,5.62,46.05,-15.56,5.82,0.32,2.38,0.53,8.91
DODLX,3.08,7.78,2.43,3.67,3.55,3.87,9.14,121.60,82.51,5.07,-0.17,8.26,0.45,11.09
DRRIX,9.97,13.87,2.00,4.29,3.75,-1.58,8.22,44.37,45.06,0.00,-0.32,5.71,0.93,9.47
DVHIX,7.26,12.08,0.19,2.88,4.12,2.11,10.63,134.80,145.10,5.04,-0.36,10.21,0.60,17.89
EFA,6.48,12.18,4.15,5.96,5.07,0.51,19.52,114.65,111.10,2.40,0.02,17.11,0.32,12.50
EGIIX,20.52,27.43,8.82,12.26,9.04,7.41,20.52,56.63,18.97,0.00,0.33,14.89,1.23,8.07
EIHIX,8.08,11.88,4.67,5.24,5.18,4.81,10.26,94.32,40.07,6.25,0.12,7.02,0.65,10.58
EIHMX,3.95,6.92,0.51,1.87,3.15,0.65,7.05,102.78,103.18,4.00,-0.45,7.47,0.46,11.84
EIMAX,2.62,4.97,-0.61,0.70,1.88,-0.64,6.39,95.00,102.83,3.75,-0.64,6.96,0.61,15.28
ESIIX,6.51,9.63,4.36,4.62,3.83,3.32,5.76,72.69,17.30,6.66,0.11,4.54,1.21,11.59
FBKWX,4.33,8.48,-0.81,1.38,2.50,1.39,6.70,102.52,91.32,5.11,-0.63,7.37,0.36,20.51
FCDIX,25.54,40.73,8.50,13.68,11.33,-3.27,23.55,100.66,131.76,0.00,0.24,19.37,0.90,15.56
FCSZX,20.10,26.21,3.87,12.27,11.23,0.39,16.87,92.10,77.34,1.38,0.00,12.05,0.58,22.93
FCVIX,17.62,31.13,8.68,13.70,10.11,-3.56,25.18,94.85,141.50,0.00,0.26,18.88,1.01,4.08
FDL,26.28,33.08,14.71,11.10,10.35,-2.96,19.75,72.24,89.27,4.48,0.74,14.71,0.45,19.24
FDN,29.82,41.14,1.76,11.96,14.57,-1.61,27.74,127.21,99.18,0.00,-0.08,27.20,0.51,18.96
FDYZX,32.08,38.27,3.38,15.76,15.85,-1.79,26.52,123.82,118.79,0.00,-0.02,25.12,0.54,57.45
FEHIX,14.06,16.12,5.04,5.20,4.41,3.64,8.30,101.78,55.52,5.34,0.18,6.63,0.91,1.41
FEQZX,21.45,26.30,,,,,,0.00,0.00,0.00,,,0.50,2.75
FGSIX,41.51,51.06,11.33,18.02,14.08,0.03,24.69,124.26,111.13,0.00,0.34,21.74,0.85,12.42
FIDI,3.27,10.15,6.28,4.12,,-1.49,21.34,100.85,100.21,4.40,0.13,16.78,0.18,7.38
FIJYX,15.74,38.30,6.76,9.46,7.39,0.80,23.99,65.75,54.16,0.00,0.13,23.27,0.58,6.88
FIKAX,12.90,12.09,24.08,16.18,5.20,1.31,38.61,63.42,100.72,0.00,0.73,27.62,0.58,5.42
FIKCX,12.28,22.28,2.70,7.68,8.60,-1.86,18.98,69.87,97.41,0.00,-0.07,16.96,0.56,16.65
FRIRX,10.10,14.87,1.90,4.07,5.51,-5.31,15.99,66.61,73.88,5.48,-0.20,9.77,0.70,6.25
FTGC,7.64,4.42,7.92,10.39,0.85,3.26,16.75,91.72,74.30,2.36,0.26,15.29,0.98,11.61
FZAEX,10.40,13.96,-0.55,5.89,5.55,0.43,21.47,87.76,93.66,0.00,-0.23,19.26,0.81,6.27
GACIX,20.36,33.17,10.98,13.48,10.09,-3.50,23.10,101.87,127.17,0.00,0.39,18.47,1.12,33.63
GLIFX,9.49,12.62,8.55,7.15,8.83,-1.79,15.90,69.77,67.50,0.00,0.35,13.35,0.97,15.42
GSINX,10.18,17.45,7.83,9.90,,5.19,17.11,91.11,82.54,0.00,0.26,15.22,0.88,8.46
GSMTX,4.38,6.92,0.65,1.89,2.91,0.55,7.00,91.94,81.36,4.06,-0.51,6.31,0.40,23.27
GSRTX,8.41,10.96,4.66,4.56,3.91,-1.39,7.36,41.85,38.96,0.00,0.13,6.19,0.85,7.88
HLGEX,22.22,30.42,3.27,12.82,12.25,-3.73,23.41,102.02,117.24,0.00,-0.03,20.42,0.84,9.42
HYD,5.92,8.80,-1.74,-0.05,2.63,-0.87,13.25,103.23,118.05,4.57,-0.64,8.38,0.32,2.50
IHDG,6.97,11.58,5.90,9.10,9.15,4.47,16.17,81.44,76.76,2.14,0.15,13.83,0.58,4.60
IJH,22.62,32.83,8.98,12.40,10.45,-4.91,23.46,98.15,128.80,1.59,0.28,18.23,0.05,12.84
ISHYX,7.11,9.01,0.64,1.50,,-0.04,6.53,70.54,56.49,4.55,-0.65,4.98,0.64,9.67
ITM,1.74,4.30,-0.93,0.71,2.18,-0.48,8.33,99.57,100.59,3.51,-0.67,7.15,0.18,2.50
IVVIX,24.22,36.19,9.28,10.60,9.82,-6.11,23.10,97.14,127.66,0.00,0.30,18.26,0.89,3.54
IWB,27.91,34.21,10.75,15.43,13.02,-0.57,19.29,100.64,102.52,1.19,0.42,16.38,0.15,12.84
