Symbol/CUSIP,Total Return - YTD (%),Total Return - 1 Year (%),Annualized Total Return - 3 Year (%),Annualized Total Return - 5 Year (%),Annualized Total Return - 10 Year (%),Alpha (Asset Class) - 5 Year,Standard Deviation - 5 Year,Up Capture Ratio (Morningstar Standard) - 3 Year,Down Capture Ratio (Morningstar Standard) - 3 Year,SEC Yield (%),Sharpe Ratio - 3 Year,Standard Deviation - 3 Year,Net Exp Ratio (%),Longest Manager Tenure (Years)
ACWX,8.36,23.28,1.44,5.57,4.64,-0.14,18.93,104.73,107.24,2.31,-0.14,16.11,0.32,12.50
AGG,1.96,10.52,-2.19,-0.25,1.46,0.01,6.43,99.88,99.86,4.46,-0.79,7.49,0.03,13.93
AOM,7.64,18.97,1.36,4.47,4.67,-4.28,10.08,82.96,82.13,3.22,-0.25,9.46,0.15,12.50
AOR,10.17,23.14,2.80,6.63,6.26,-4.10,12.78,101.42,96.34,2.80,-0.08,11.30,0.15,12.50
APDJX,1.78,23.75,-5.44,5.24,5.48,-0.72,22.10,102.34,123.72,0.00,-0.48,19.04,1.15,6.63
ASFYX,-5.59,-12.44,2.93,5.97,3.42,5.86,14.06,-46.22,-26.21,0.00,-0.05,16.62,1.45,14.85
BGSIX,27.68,52.81,1.51,19.40,19.64,5.61,28.38,131.83,118.84,0.00,-0.08,26.80,0.92,11.96
BIL,4.39,5.33,3.55,2.23,1.53,-0.10,0.68,20.04,-21.97,4.11,-0.30,0.60,0.14,1.10
BNDW,2.35,10.05,-1.47,-0.22,,-0.29,5.78,89.94,81.36,3.97,-0.77,6.75,0.05,6.74
BSV,3.40,6.88,0.73,1.22,1.57,-0.07,2.89,54.31,30.99,4.16,-0.88,3.42,0.03,12.28
BUYZ,20.71,47.10,-11.70,,,,33.59,147.34,144.36,0.00,-0.52,29.45,0.50,5.27
CAIFX,11.69,24.48,5.39,7.11,5.82,2.40,13.11,100.84,94.10,3.28,0.15,11.21,0.38,33.44
CEYIX,8.34,25.62,3.45,12.47,13.10,-1.87,17.89,86.52,99.57,0.00,-0.02,16.23,0.65,9.96
CMNIX,6.29,8.86,3.77,4.34,4.07,0.19,4.33,25.77,8.40,0.84,0.01,4.03,0.97,34.76
CPITX,5.81,10.55,4.15,5.18,,3.59,3.48,41.28,-5.39,0.00,0.13,3.22,2.00,10.50
CPLIX,8.61,16.10,4.05,8.52,6.20,0.65,18.02,47.20,49.87,0.00,0.03,12.76,2.19,9.16
CWB,7.95,20.51,-2.33,10.21,8.79,-2.16,19.31,88.85,83.23,1.95,-0.46,13.17,0.40,16.14
DHEIX,7.78,10.57,4.30,3.82,,2.05,5.62,46.05,-15.56,5.82,0.24,2.38,0.53,8.91
DODLX,2.24,12.96,1.69,3.49,3.41,3.92,9.11,121.60,82.51,5.07,-0.25,8.19,0.45,11.09
DRRIX,6.89,15.39,0.25,3.69,3.69,-2.02,8.23,44.37,45.06,0.00,-0.60,5.79,0.93,9.47
DVHIX,5.32,20.28,0.11,2.56,4.00,2.24,10.63,134.80,145.10,5.04,-0.36,10.18,0.60,17.89
EFA,6.73,22.03,2.64,6.24,5.24,0.43,19.41,114.65,111.10,2.40,-0.06,17.02,0.32,12.50
EGIIX,19.77,34.53,7.36,12.20,9.29,7.06,20.32,56.63,18.97,0.00,0.25,14.71,1.23,8.07
EIHIX,6.77,14.79,3.86,5.13,4.96,4.89,10.27,94.32,40.07,6.25,0.02,7.04,0.65,10.58
EIHMX,1.96,12.75,0.15,1.51,2.94,0.61,7.05,102.78,103.18,4.00,-0.48,7.44,0.46,11.84
