Symbol/CUSIP,Total Return - YTD (%),Total Return - 1 Year (%),Annualized Total Return - 3 Year (%),Annualized Total Return - 5 Year (%),Annualized Total Return - 10 Year (%),Alpha (Asset Class) - 5 Year,Standard Deviation - 5 Year,Up Capture Ratio (Morningstar Standard) - 3 Year,Down Capture Ratio (Morningstar Standard) - 3 Year,SEC Yield (%),Sharpe Ratio - 3 Year,Standard Deviation - 3 Year,Net Exp Ratio (%),Longest Manager Tenure (Years)
ACWX,13.73,25.04,4.05,7.33,5.04,-0.29,18.91,104.73,107.24,2.31,0.03,16.12,0.32,12.50
AGG,4.56,11.55,-1.39,0.31,1.81,-0.01,6.37,99.88,99.86,4.46,-0.67,7.41,0.03,13.93
AOM,10.06,19.26,2.79,5.19,5.06,-3.90,10.07,82.96,82.13,3.22,-0.09,9.47,0.15,12.50
AOR,12.70,23.14,4.63,7.50,6.72,-3.69,12.77,101.42,96.34,2.80,0.09,11.32,0.15,12.50
APDJX,7.52,19.85,-3.20,7.37,6.12,-0.51,22.11,102.34,123.72,0.00,-0.35,19.22,1.15,6.63
ASFYX,-0.88,-7.60,6.02,6.35,3.86,6.77,13.99,-46.22,-26.21,0.00,0.15,16.67,1.45,14.85
BGSIX,28.09,49.82,3.96,20.22,20.19,5.19,28.31,131.83,118.84,0.00,0.01,26.80,0.92,11.96
BIL,3.99,5.38,3.42,2.18,1.49,-0.10,0.68,20.04,-21.97,4.11,-0.28,0.63,0.14,1.10
BNDW,4.02,10.89,-1.00,0.09,,-0.45,5.76,89.94,81.36,3.97,-0.68,6.73,0.05,6.74
BSV,4.50,8.06,0.92,1.51,1.72,0.02,2.86,54.31,30.99,4.16,-0.79,3.39,0.03,12.28
BUYZ,19.26,40.11,-11.17,,,,33.83,147.34,144.36,0.00,-0.50,29.67,0.50,5.27
CAIFX,13.70,24.35,7.22,7.78,6.21,1.83,13.12,100.84,94.10,3.28,0.32,11.24,0.38,33.44
CEYIX,12.22,26.66,6.93,13.22,13.82,-1.71,17.90,86.52,99.57,0.00,0.20,16.34,0.65,9.96
CMNIX,6.01,8.42,4.04,4.40,4.08,0.04,4.32,25.77,8.40,0.84,0.11,4.02,0.97,34.76
CPITX,5.86,10.20,4.01,5.22,,3.50,3.52,41.28,-5.39,0.00,0.13,3.26,2.00,10.50
CPLIX,7.48,12.01,3.40,8.27,6.43,-0.30,18.03,47.20,49.87,0.00,-0.01,13.13,2.19,9.16
CWB,7.28,14.91,-1.48,10.45,8.80,-2.41,19.29,88.85,83.23,1.95,-0.38,13.23,0.40,16.14
