Fund Ticker,Fund Name,Asset Class
CAIFX,American Funds Cap Inc Build,Asset Allocation
PRWCX,T. Rowe Price Capital Appreciation,Asset Allocation
TIBIX,Thornburg Inv Inc Builder,Asset Allocation
FCSZX,Franklin Convertible Adv.,Convertible Bonds
FZAEX,Fidelity Adv. Emerging Markets Z,Emerging Markets
DODLX,Dodge & Cox Global Bond I,Foreign Bonds
MEDIX,MFS Emerging Market Debt I,Foreign Bonds
GSRTX,Goldman Sachs Absolute Return Tracker Inv,Hedged/Enhanced
JDJIX,John Hancock Diversified Macro Fund,Hedged/Enhanced
JHEQX,JP Morgan Hedged Equity I,Hedged/Enhanced
EIHIX,Eaton Vance High Income Opp. I,High Yield Bonds
MHYIX,Mainstay High Yield I,High Yield Bonds
DVHIX,Delaware High Yield Muni,High Yield Muni
FEHIX,First Eagle High Yield Muni I,High Yield Muni
MMHIX,Mainstay High Yield Muni Bond I,High Yield Muni
EIHMX,Eaton Vance National Muni Income I,Intermediate Muni
GSMTX,Goldman Sachs Dynamic Muni Inc. I,Intermediate Muni
MTBIX,Mainstay McKay Tax Free Bond I,Intermediate Muni
STWTX,Hartford Schroders Tax Aware Bond,Intermediate Muni
FBKWX,Fidelity Adv. Total Bond Z,Intermediate Term Bonds
LSIIX,Loomis Sayles Investment Grade,Intermediate Term Bonds
UIITX,Victory Core Plus Interm Bond,Intermediate Term Bonds
GSINX,Goldman Sachs GQG Ptnrs Intl Opps I,International Stock (Large Cap)
IHDG,WisdomTree Intl. Hedged Quality Div Growth ETF,International Stock (Large Cap)
JIGFX,Janus Overseas I,International Stock (Large Cap)
MDIJX,MFS Internation Diversification I,International Stock (Large Cap)
MQGIX,MFS International Growth I,International Stock (Large Cap)
SCIEX,Hartford Schroder's Intl. Stock I,International Stock (Large Cap)
TSWIX,Transamerica Intl Equity,International Stock (Large Cap)
APDJX,Artisan International Small Cap I,International Stock (Small/Mid Cap)
JEPI,JP Morgan Equity Premium Income ETF,Large Cap Blend
JQUA,JP Morgan US Quality Factor ETF,Large Cap Blend
PRDGX,T. Rowe Price Dividend Growth,Large Cap Blend
RSP,Invesco Equal Weighted S&P 500 ETF,Large Cap Blend
CEYIX,Calvert Equity,Large Cap Blend
FDYZX,Franklin Dynatech Adv,Large Cap Growth
MFEIX,MFS Growth I,Large Cap Growth
SPYG,SPDR S&P 500 Growth ETF,Large Cap Growth
TCAF,T. Rowe Price Capital Appreciation ETF,Large Cap Growth
WINN,Harbor Long Term Growers,Large Cap Growth
FDL,First Trust Dividend Leaders ETF,Large Cap Value
PEIYX,Putnam Large Cap Value Y,Large Cap Value
SCHD,Schwab Strategic Trust ETF,Large Cap Value
SDY,SPDR S&P Dividend,Large Cap Value
VYM,Vanguard High Div ETF,Large Cap Value
CMNIX,Calamos Market Neutral Income,Long/Short
CPLIX,Calamos Phineus Long/Short I,Long/Short
HHCZX,Nextpoint Event Driven,Long/Short
EIMAX,Eaton Vance MA Tax free,Mass Muni Bonds
MTALX,MFS MA Muni Bond Fund,Mass Muni Bonds
IJH,iShares Core S&P Mid-Cap ETF,Mid-Cap Blend
JHMM,John Hancock Mid Cap Multifactor,Mid-Cap Blend
TMCPX,Touchstone Mid Cap Fund Y,Mid-Cap Blend
FGSIX,Federated Hermes MDT Mid Cap Growth IS,Mid-Cap Growth
HLGEX,JP Morgan Mid Cap Growth,Mid-Cap Growth
JVMIX,John Hancock Mid Cap Value I,Mid-Cap Value
XMVM,Invesco S&S Midcap Value w/ Momentum ETF,Mid-Cap Value
PCOXX,Federated Money Market,Money Market
